"trainer/global_step","crisp-sweep-10 - _step","crisp-sweep-10 - _step__MIN","crisp-sweep-10 - _step__MAX","crisp-sweep-10 - train_loss_step","crisp-sweep-10 - train_loss_step__MIN","crisp-sweep-10 - train_loss_step__MAX"
"2799","137.5","59","216","0.9128282368183136","0.7631896138191223","1.0624668598175049"
"2849","141.5","63","220","1.1053501963615417","1.0938036441802979","1.1168967485427856"
"2899","142.5","64","221","0.9843643307685852","0.6273046731948853","1.3414239883422852"
"2949","143.5","65","222","1.0461519956588745","0.8383569717407227","1.2539470195770264"
"2999","144.5","66","223","0.6470759809017181","0.5851147770881653","0.709037184715271"
"3049","145.5","67","224","0.8915499150753021","0.8874394297599792","0.895660400390625"
"3099","146.5","68","225","0.8824742436408997","0.7871048450469971","0.9778436422348022"
"3149","147.5","69","226","1.1767173409461975","1.0823326110839844","1.2711020708084106"
"3199","148.5","70","227","1.1938127875328064","1.0629199743270874","1.3247056007385254"
"3249","149.5","71","228","0.7697263956069946","0.4949629306793213","1.044489860534668"
"3299","150.5","72","229","0.8429484069347382","0.7115996479988098","0.9742971658706665"
"3349","151.5","73","230","1.2005460262298584","1.1153390407562256","1.2857530117034912"
"3399","152.5","74","231","0.9891915023326874","0.7516917586326599","1.2266912460327148"
"3449","153.5","75","232","0.6146436929702759","0.40945106744766235","0.8198363184928894"
"3499","154.5","76","233","0.948898434638977","0.8712385892868042","1.02655827999115"
"3549","155.5","77","234","0.9326223134994507","0.9153809547424316","0.9498636722564697"
"3599","156.5","78","235","0.8809719085693359","0.7773481607437134","0.9845956563949585"
"3649","157.5","79","236","0.9588622450828552","0.6999468803405762","1.2177776098251343"
"3699","158.5","80","237","0.721915602684021","0.6397429704666138","0.8040882349014282"
"3749","159.5","81","238","0.7146312296390533","0.5814980864524841","0.8477643728256226"
"3799","160.5","82","239","0.9355292022228241","0.9273369908332825","0.9437214136123657"
"3849","161.5","83","240","0.886460542678833","0.6968464851379395","1.0760746002197266"
"3899","162.5","84","241","0.8094221353530884","0.6930514574050903","0.9257928133010864"
"3949","163.5","85","242","0.8119227588176727","0.7032230496406555","0.9206224679946899"
"3999","164.5","86","243","0.6344841122627258","0.5316839814186096","0.737284243106842"
"4049","165.5","87","244","0.9778746664524078","0.8722483515739441","1.0835009813308716"
"4099","166.5","88","245","0.7729906439781189","0.5308910608291626","1.0150902271270752"
"4149","167.5","89","246","1.098017692565918","1.0587234497070312","1.1373119354248047"
"4199","168.5","90","247","0.8273314833641052","0.4312828779220581","1.2233800888061523"
"4249","172.5","94","251","0.8733645677566528","0.8342568874359131","0.9124722480773926"
"4299","173.5","95","252","0.7415664196014404","0.6724482774734497","0.8106845617294312"
"4349","174.5","96","253","0.916421502828598","0.8591858744621277","0.9736571311950684"
"4399","175.5","97","254","0.601428896188736","0.5401675701141357","0.6626902222633362"
"4449","176.5","98","255","0.874091625213623","0.7202190160751343","1.0279642343521118"
"4499","177.5","99","256","0.754889041185379","0.6844874620437622","0.8252906203269958"
"4549","178.5","100","257","0.6900920867919922","0.5213344097137451","0.8588497638702393"
"4599","179.5","101","258","0.971166729927063","0.7184016704559326","1.2239317893981934"
"4649","180.5","102","259","0.7264052927494049","0.606910228729248","0.8459003567695618"
"4699","181.5","103","260","0.9629277586936951","0.8059870004653931","1.119868516921997"
"4749","182.5","104","261","0.8266440033912659","0.6484445333480835","1.0048434734344482"
"4799","183.5","105","262","0.6033430695533752","0.5805493593215942","0.6261367797851562"
"4849","184.5","106","263","0.6742786765098572","0.6708329916000366","0.6777243614196777"
"4899","185.5","107","264","0.7422902584075928","0.6735453605651855","0.81103515625"
"4949","186.5","108","265","0.8349948525428772","0.7084268927574158","0.9615628123283386"
"4999","187.5","109","266","0.7500937283039093","0.6123851537704468","0.8878023028373718"
"5049","188.5","110","267","0.8220230638980865","0.6818609833717346","0.9621851444244385"
"5099","189.5","111","268","0.524067223072052","0.5021398067474365","0.5459946393966675"
"5149","190.5","112","269","0.7833567261695862","0.7300685048103333","0.8366449475288391"
"5199","191.5","113","270","0.8187147080898285","0.6623592972755432","0.9750701189041138"
"5249","192.5","114","271","0.7383044958114624","0.5900582671165466","0.8865507245063782"
"5299","193.5","115","272","0.7625808417797089","0.6878188252449036","0.8373428583145142"
"5349","194.5","116","273","0.602589875459671","0.5752832889556885","0.6298964619636536"
"5399","195.5","117","274","0.7513979375362396","0.5911317467689514","0.9116641283035278"
"5449","196.5","118","275","0.4531180262565613","0.3638073205947876","0.542428731918335"
"5499","197.5","119","276","0.5848193466663361","0.510385274887085","0.6592534184455872"
"5549","198.5","120","277","0.6531354486942291","0.5454328656196594","0.7608380317687988"
"5599","199.5","121","278","0.8353366255760193","0.5894762277603149","1.0811970233917236"
"5649","203.5","125","282","0.6037219166755676","0.44848406314849854","0.7589597702026367"
"5699","204.5","126","283","0.6336998045444489","0.5397511124610901","0.7276484966278076"
"5749","205.5","127","284","0.561679944396019","0.3079778850078583","0.8153820037841797"
"5799","206.5","128","285","0.7052697539329529","0.5804003477096558","0.83013916015625"
"5849","207.5","129","286","0.46715712547302246","0.38492876291275024","0.5493854880332947"
